run,job_id,label,support,precision,recall,f1,tp,fp,fn
E10_posw,13399266,species:Bm,20,0.8260869565217391,0.95,0.8837209302325583,19,4,1
E10_posw,13399266,species:Bp,31,0.21818181818181817,0.7741935483870968,0.34042553191489366,24,86,7
E10_posw,13399266,species:Mn,30,0.1761006289308176,0.9333333333333333,0.2962962962962963,28,131,2
E10_posw,13399266,species:Oo,12,0.16666666666666666,0.3333333333333333,0.2222222222222222,4,20,8
E10_noposw,13399267,species:Bm,20,0.7916666666666666,0.95,0.8636363636363635,19,5,1
E10_noposw,13399267,species:Bp,31,0.32,0.25806451612903225,0.2857142857142857,8,17,23
E10_noposw,13399267,species:Mn,30,0.1917808219178082,0.4666666666666667,0.27184466019417475,14,59,16
E10_noposw,13399267,species:Oo,12,0.13725490196078433,0.5833333333333334,0.2222222222222222,7,44,5
E11_posw,13399268,species:Bm,20,0.8823529411764706,0.75,0.8108108108108107,15,2,5
E11_posw,13399268,species:Bp,31,0.2465753424657534,0.5806451612903226,0.34615384615384615,18,55,13
E11_posw,13399268,species:Mn,30,0.20610687022900764,0.9,0.3354037267080746,27,104,3
E11_posw,13399268,species:Oo,12,0.16666666666666666,0.5,0.25,6,30,6
E11_noposw,13399269,species:Bm,20,0.75,0.9,0.8181818181818182,18,6,2
E11_noposw,13399269,species:Bp,31,0.2777777777777778,0.16129032258064516,0.20408163265306123,5,13,26
E11_noposw,13399269,species:Mn,30,0.1926605504587156,0.7,0.30215827338129503,21,88,9
E11_noposw,13399269,species:Oo,12,0.1111111111111111,0.08333333333333333,0.09523809523809525,1,8,11
