item_id,clip,filename,source_audio,begin_s,end_s,begin_time_s,end_time_s,window_start_s,duration_s,expected_mat_name,mat_path,source_dataset,source_row_id,source_provider,source_dataset_raw,source_soundfile,source_class_species,source_label_ids,canonical_label_ids,canonical_species,canonical_call_type,analysis_label_ids,dclde_ecotype,dclde_annotation_level,dclde_kw,dclde_kw_certain,low_frequency_hz,high_frequency_hz,gcs_object,gcs_uri,https_url,is_background,review_status,species,species_code,call_type,call_type_std,call_type_raw,event_group,labels_json,label_ids
dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac_251.4s_251.7s_trainstyle,dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac,251.439000,251.695000,251.439000,251.695000,251.439000,0.256000,dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac_251.4s_251.7s_trainstyle.mat,mat_files/dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac_251.4s_251.7s_trainstyle.mat,dclde_2027_DFO_CRP_NorthBc,1,DFO_CRP,NorthBc,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac,AB,confounder:abiotic,,,,confounder:abiotic,NA,Detection,0,NA,1062.5,1187.5,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac,gs://noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac,https://storage.googleapis.com/noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac,1,reviewed_confounder,,,,,,DFO_CRP:NorthBc:DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac,[],
dclde_DFO_CRP_WVanIsl__DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110519_003000Z.flac_188.3s_188.6s_trainstyle,dclde_DFO_CRP_WVanIsl__DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110519_003000Z.flac,DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110519_003000Z.flac,DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110519_003000Z.flac,188.343000,188.624000,188.343000,188.624000,188.343000,0.281000,dclde_DFO_CRP_WVanIsl__DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110519_003000Z.flac_188.3s_188.6s_trainstyle.mat,mat_files/dclde_DFO_CRP_WVanIsl__DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110519_003000Z.flac_188.3s_188.6s_trainstyle.mat,dclde_2027_DFO_CRP_WVanIsl,44819,DFO_CRP,WVanIsl,DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110519_003000Z.flac,AB,confounder:abiotic,,,,confounder:abiotic,NA,Detection,0,NA,1856,2048,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/wvanisl/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110519_003000Z.flac,gs://noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/wvanisl/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110519_003000Z.flac,https://storage.googleapis.com/noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/wvanisl/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110519_003000Z.flac,1,reviewed_confounder,,,,,,DFO_CRP:WVanIsl:DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110519_003000Z.flac,[],
dclde_DFO_WDLP_CarmanahPt__ST6249.220308201042.wav_50.9s_51.3s_trainstyle,dclde_DFO_WDLP_CarmanahPt__ST6249.220308201042.wav,ST6249.220308201042.wav,ST6249.220308201042.wav,50.922000,51.327000,50.922000,51.327000,50.922000,0.405000,dclde_DFO_WDLP_CarmanahPt__ST6249.220308201042.wav_50.9s_51.3s_trainstyle.mat,mat_files/dclde_DFO_WDLP_CarmanahPt__ST6249.220308201042.wav_50.9s_51.3s_trainstyle.mat,dclde_2027_DFO_WDLP_CarmanahPt,159050,DFO_WDLP,CarmanahPt,ST6249.220308201042.wav,AB,confounder:abiotic,,,,confounder:abiotic,NA,Detection,0,NA,187,257,dclde/2027/dclde_2027_killer_whales/dfo_wdlp/audio/carmanahpt/ST6249.220308201042.wav,gs://noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_wdlp/audio/carmanahpt/ST6249.220308201042.wav,https://storage.googleapis.com/noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_wdlp/audio/carmanahpt/ST6249.220308201042.wav,1,reviewed_confounder,,,,,,DFO_WDLP:CarmanahPt:ST6249.220308201042.wav,[],
dclde_DFO_WDLP_StrGeoN1__AMAR610.20210905T141735Z.wav_120.1s_120.6s_trainstyle,dclde_DFO_WDLP_StrGeoN1__AMAR610.20210905T141735Z.wav,AMAR610.20210905T141735Z.wav,AMAR610.20210905T141735Z.wav,120.085000,120.618000,120.085000,120.618000,120.085000,0.533000,dclde_DFO_WDLP_StrGeoN1__AMAR610.20210905T141735Z.wav_120.1s_120.6s_trainstyle.mat,mat_files/dclde_DFO_WDLP_StrGeoN1__AMAR610.20210905T141735Z.wav_120.1s_120.6s_trainstyle.mat,dclde_2027_DFO_WDLP_StrGeoN1,161178,DFO_WDLP,StrGeoN1,AMAR610.20210905T141735Z.wav,AB,confounder:abiotic,,,,confounder:abiotic,NA,Detection,0,NA,7007,7359,dclde/2027/dclde_2027_killer_whales/dfo_wdlp/audio/strgeon1/AMAR610.20210905T141735Z.wav,gs://noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_wdlp/audio/strgeon1/AMAR610.20210905T141735Z.wav,https://storage.googleapis.com/noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_wdlp/audio/strgeon1/AMAR610.20210905T141735Z.wav,1,reviewed_confounder,,,,,,DFO_WDLP:StrGeoN1:AMAR610.20210905T141735Z.wav,[],
dclde_DFO_WDLP_StrGeoN2__AMAR617.20211128T075245Z.wav_187.0s_187.3s_trainstyle,dclde_DFO_WDLP_StrGeoN2__AMAR617.20211128T075245Z.wav,AMAR617.20211128T075245Z.wav,AMAR617.20211128T075245Z.wav,187.006000,187.347000,187.006000,187.347000,187.006000,0.341000,dclde_DFO_WDLP_StrGeoN2__AMAR617.20211128T075245Z.wav_187.0s_187.3s_trainstyle.mat,mat_files/dclde_DFO_WDLP_StrGeoN2__AMAR617.20211128T075245Z.wav_187.0s_187.3s_trainstyle.mat,dclde_2027_DFO_WDLP_StrGeoN2,162886,DFO_WDLP,StrGeoN2,AMAR617.20211128T075245Z.wav,AB,confounder:abiotic,,,,confounder:abiotic,NA,Detection,0,NA,304,445,dclde/2027/dclde_2027_killer_whales/dfo_wdlp/audio/strgeon2/AMAR617.20211128T075245Z.wav,gs://noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_wdlp/audio/strgeon2/AMAR617.20211128T075245Z.wav,https://storage.googleapis.com/noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_wdlp/audio/strgeon2/AMAR617.20211128T075245Z.wav,1,reviewed_confounder,,,,,,DFO_WDLP:StrGeoN2:AMAR617.20211128T075245Z.wav,[],
dclde_DFO_WDLP_StrGeoS1__AMAR607.20211111T225218Z.wav_21.9s_22.4s_trainstyle,dclde_DFO_WDLP_StrGeoS1__AMAR607.20211111T225218Z.wav,AMAR607.20211111T225218Z.wav,AMAR607.20211111T225218Z.wav,21.866000,22.378000,21.866000,22.378000,21.866000,0.512000,dclde_DFO_WDLP_StrGeoS1__AMAR607.20211111T225218Z.wav_21.9s_22.4s_trainstyle.mat,mat_files/dclde_DFO_WDLP_StrGeoS1__AMAR607.20211111T225218Z.wav_21.9s_22.4s_trainstyle.mat,dclde_2027_DFO_WDLP_StrGeoS1,163194,DFO_WDLP,StrGeoS1,AMAR607.20211111T225218Z.wav,AB,confounder:abiotic,,,,confounder:abiotic,NA,Detection,0,NA,1007,1125,dclde/2027/dclde_2027_killer_whales/dfo_wdlp/audio/strgeos1/AMAR607.20211111T225218Z.wav,gs://noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_wdlp/audio/strgeos1/AMAR607.20211111T225218Z.wav,https://storage.googleapis.com/noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_wdlp/audio/strgeos1/AMAR607.20211111T225218Z.wav,1,reviewed_confounder,,,,,,DFO_WDLP:StrGeoS1:AMAR607.20211111T225218Z.wav,[],
dclde_DFO_WDLP_StrGeoS2__AMAR779.20210904T190752Z.wav_102.0s_102.4s_trainstyle,dclde_DFO_WDLP_StrGeoS2__AMAR779.20210904T190752Z.wav,AMAR779.20210904T190752Z.wav,AMAR779.20210904T190752Z.wav,102.014000,102.440000,102.014000,102.440000,102.014000,0.426000,dclde_DFO_WDLP_StrGeoS2__AMAR779.20210904T190752Z.wav_102.0s_102.4s_trainstyle.mat,mat_files/dclde_DFO_WDLP_StrGeoS2__AMAR779.20210904T190752Z.wav_102.0s_102.4s_trainstyle.mat,dclde_2027_DFO_WDLP_StrGeoS2,163566,DFO_WDLP,StrGeoS2,AMAR779.20210904T190752Z.wav,AB,confounder:abiotic,,,,confounder:abiotic,NA,Detection,0,NA,2929,3000,dclde/2027/dclde_2027_killer_whales/dfo_wdlp/audio/strgeos2/AMAR779.20210904T190752Z.wav,gs://noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_wdlp/audio/strgeos2/AMAR779.20210904T190752Z.wav,https://storage.googleapis.com/noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_wdlp/audio/strgeos2/AMAR779.20210904T190752Z.wav,1,reviewed_confounder,,,,,,DFO_WDLP:StrGeoS2:AMAR779.20210904T190752Z.wav,[],
dclde_DFO_WDLP_SwanChan__AMAR777.20211116T172347Z.wav_231.3s_231.7s_trainstyle,dclde_DFO_WDLP_SwanChan__AMAR777.20211116T172347Z.wav,AMAR777.20211116T172347Z.wav,AMAR777.20211116T172347Z.wav,231.337000,231.699000,231.337000,231.699000,231.337000,0.362000,dclde_DFO_WDLP_SwanChan__AMAR777.20211116T172347Z.wav_231.3s_231.7s_trainstyle.mat,mat_files/dclde_DFO_WDLP_SwanChan__AMAR777.20211116T172347Z.wav_231.3s_231.7s_trainstyle.mat,dclde_2027_DFO_WDLP_SwanChan,165714,DFO_WDLP,SwanChan,AMAR777.20211116T172347Z.wav,AB,confounder:abiotic,,,,confounder:abiotic,NA,Detection,0,NA,4945,5015,dclde/2027/dclde_2027_killer_whales/dfo_wdlp/audio/swanchan/AMAR777.20211116T172347Z.wav,gs://noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_wdlp/audio/swanchan/AMAR777.20211116T172347Z.wav,https://storage.googleapis.com/noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_wdlp/audio/swanchan/AMAR777.20211116T172347Z.wav,1,reviewed_confounder,,,,,,DFO_WDLP:SwanChan:AMAR777.20211116T172347Z.wav,[],
dclde_JASCO_VFPA_ONC_StraitofGeorgia__JASCOAMARHYDROPHONE2402_20150929T075616.320Z.wav_230.3s_241.0s_trainstyle,dclde_JASCO_VFPA_ONC_StraitofGeorgia__JASCOAMARHYDROPHONE2402_20150929T075616.320Z.wav,JASCOAMARHYDROPHONE2402_20150929T075616.320Z.wav,JASCOAMARHYDROPHONE2402_20150929T075616.320Z.wav,230.310000,240.975000,230.310000,240.975000,230.310000,10.665000,dclde_JASCO_VFPA_ONC_StraitofGeorgia__JASCOAMARHYDROPHONE2402_20150929T075616.320Z.wav_230.3s_241.0s_trainstyle.mat,mat_files/dclde_JASCO_VFPA_ONC_StraitofGeorgia__JASCOAMARHYDROPHONE2402_20150929T075616.320Z.wav_230.3s_241.0s_trainstyle.mat,dclde_2027_JASCO_VFPA_ONC_StraitofGeorgia,193844,JASCO_VFPA_ONC,StraitofGeorgia,JASCOAMARHYDROPHONE2402_20150929T075616.320Z.wav,AB,confounder:abiotic,,,,confounder:abiotic,NA,Call,0,NA,431.1,32000,dclde/2027/dclde_2027_killer_whales/vfpa/audio/straitofgeorgia/JASCOAMARHYDROPHONE2402_20150929T075616.320Z.wav,gs://noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/vfpa/audio/straitofgeorgia/JASCOAMARHYDROPHONE2402_20150929T075616.320Z.wav,https://storage.googleapis.com/noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/vfpa/audio/straitofgeorgia/JASCOAMARHYDROPHONE2402_20150929T075616.320Z.wav,1,reviewed_confounder,,,,,,JASCO_VFPA_ONC:StraitofGeorgia:JASCOAMARHYDROPHONE2402_20150929T075616.320Z.wav,[],
dclde_JASCO_VFPA_BoundaryPass__AMAR418.1.20180902T143639Z.wav_340.6s_343.0s_trainstyle,dclde_JASCO_VFPA_BoundaryPass__AMAR418.1.20180902T143639Z.wav,AMAR418.1.20180902T143639Z.wav,AMAR418.1.20180902T143639Z.wav,340.636000,342.951000,340.636000,342.951000,340.636000,2.315000,dclde_JASCO_VFPA_BoundaryPass__AMAR418.1.20180902T143639Z.wav_340.6s_343.0s_trainstyle.mat,mat_files/dclde_JASCO_VFPA_BoundaryPass__AMAR418.1.20180902T143639Z.wav_340.6s_343.0s_trainstyle.mat,dclde_2027_JASCO_VFPA_BoundaryPass,181248,JASCO_VFPA,BoundaryPass,AMAR418.1.20180902T143639Z.wav,AB,confounder:abiotic,,,,confounder:abiotic,NA,Call,0,NA,147.5,13000.8,dclde/2027/dclde_2027_killer_whales/vfpa/audio/boundarypass/AMAR418.1.20180902T143639Z.wav,gs://noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/vfpa/audio/boundarypass/AMAR418.1.20180902T143639Z.wav,https://storage.googleapis.com/noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/vfpa/audio/boundarypass/AMAR418.1.20180902T143639Z.wav,1,reviewed_confounder,,,,,,JASCO_VFPA:BoundaryPass:AMAR418.1.20180902T143639Z.wav,[],
