item_id,clip,filename,source_audio,begin_s,end_s,begin_time_s,end_time_s,window_start_s,duration_s,expected_mat_name,mat_path,source_dataset,source_row_id,source_provider,source_dataset_raw,source_soundfile,source_class_species,source_label_ids,canonical_label_ids,canonical_species,canonical_call_type,analysis_label_ids,dclde_ecotype,dclde_annotation_level,dclde_kw,dclde_kw_certain,low_frequency_hz,high_frequency_hz,gcs_object,gcs_uri,https_url,is_background,review_status,species,species_code,call_type,call_type_std,call_type_raw,event_group,labels_json,label_ids
dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac_251.4s_251.7s_trainstyle,dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac,251.439000,251.695000,251.439000,251.695000,251.439000,0.256000,dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac_251.4s_251.7s_trainstyle.mat,mat_files/dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac_251.4s_251.7s_trainstyle.mat,dclde_2027_DFO_CRP_NorthBc,1,DFO_CRP,NorthBc,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac,AB,confounder:abiotic,,,,confounder:abiotic,NA,Detection,0,NA,1062.5,1187.5,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac,gs://noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac,https://storage.googleapis.com/noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac,1,reviewed_confounder,,,,,,DFO_CRP:NorthBc:DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac,[],
dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac_268.0s_268.3s_trainstyle,dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac,268.000000,268.256000,268.000000,268.256000,268.000000,0.256000,dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac_268.0s_268.3s_trainstyle.mat,mat_files/dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac_268.0s_268.3s_trainstyle.mat,dclde_2027_DFO_CRP_NorthBc,2,DFO_CRP,NorthBc,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac,AB,confounder:abiotic,,,,confounder:abiotic,NA,Detection,0,NA,1062.5,1187.5,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac,gs://noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac,https://storage.googleapis.com/noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac,1,reviewed_confounder,,,,,,DFO_CRP:NorthBc:DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac,[],
dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac_297.6s_298.0s_trainstyle,dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac,297.600000,297.952000,297.600000,297.952000,297.600000,0.352000,dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac_297.6s_298.0s_trainstyle.mat,mat_files/dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac_297.6s_298.0s_trainstyle.mat,dclde_2027_DFO_CRP_NorthBc,3,DFO_CRP,NorthBc,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac,AB,confounder:abiotic,,,,confounder:abiotic,NA,Detection,0,NA,1093.75,1218.75,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac,gs://noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac,https://storage.googleapis.com/noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac,1,reviewed_confounder,,,,,,DFO_CRP:NorthBc:DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_000600Z.flac,[],
dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac_26.2s_26.6s_trainstyle,dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac,26.176000,26.624000,26.176000,26.624000,26.176000,0.448000,dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac_26.2s_26.6s_trainstyle.mat,mat_files/dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac_26.2s_26.6s_trainstyle.mat,dclde_2027_DFO_CRP_NorthBc,4,DFO_CRP,NorthBc,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac,AB,confounder:abiotic,,,,confounder:abiotic,NA,Detection,0,NA,1000,1218.75,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac,gs://noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac,https://storage.googleapis.com/noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac,1,reviewed_confounder,,,,,,DFO_CRP:NorthBc:DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac,[],
dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac_40.6s_40.9s_trainstyle,dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac,40.639000,40.895000,40.639000,40.895000,40.639000,0.256000,dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac_40.6s_40.9s_trainstyle.mat,mat_files/dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac_40.6s_40.9s_trainstyle.mat,dclde_2027_DFO_CRP_NorthBc,5,DFO_CRP,NorthBc,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac,AB,confounder:abiotic,,,,confounder:abiotic,NA,Detection,0,NA,1062.5,1250,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac,gs://noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac,https://storage.googleapis.com/noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac,1,reviewed_confounder,,,,,,DFO_CRP:NorthBc:DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac,[],
dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac_95.7s_96.0s_trainstyle,dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac,95.711000,95.967000,95.711000,95.967000,95.711000,0.256000,dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac_95.7s_96.0s_trainstyle.mat,mat_files/dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac_95.7s_96.0s_trainstyle.mat,dclde_2027_DFO_CRP_NorthBc,6,DFO_CRP,NorthBc,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac,AB,confounder:abiotic,,,,confounder:abiotic,NA,Detection,0,NA,1062.5,1187.5,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac,gs://noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac,https://storage.googleapis.com/noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac,1,reviewed_confounder,,,,,,DFO_CRP:NorthBc:DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac,[],
dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac_198.0s_198.2s_trainstyle,dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac,197.967000,198.239000,197.967000,198.239000,197.967000,0.272000,dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac_198.0s_198.2s_trainstyle.mat,mat_files/dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac_198.0s_198.2s_trainstyle.mat,dclde_2027_DFO_CRP_NorthBc,7,DFO_CRP,NorthBc,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac,AB,confounder:abiotic,,,,confounder:abiotic,NA,Detection,0,NA,1062.5,1156.25,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac,gs://noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac,https://storage.googleapis.com/noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac,1,reviewed_confounder,,,,,,DFO_CRP:NorthBc:DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_002100Z.flac,[],
dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_003600Z.flac_1.3s_1.6s_trainstyle,dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_003600Z.flac,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_003600Z.flac,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_003600Z.flac,1.327000,1.599000,1.327000,1.599000,1.327000,0.272000,dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_003600Z.flac_1.3s_1.6s_trainstyle.mat,mat_files/dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_003600Z.flac_1.3s_1.6s_trainstyle.mat,dclde_2027_DFO_CRP_NorthBc,8,DFO_CRP,NorthBc,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_003600Z.flac,AB,confounder:abiotic,,,,confounder:abiotic,NA,Detection,0,NA,5906.25,6125,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_003600Z.flac,gs://noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_003600Z.flac,https://storage.googleapis.com/noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_003600Z.flac,1,reviewed_confounder,,,,,,DFO_CRP:NorthBc:DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_003600Z.flac,[],
dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_020600Z.flac_253.5s_253.7s_trainstyle,dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_020600Z.flac,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_020600Z.flac,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_020600Z.flac,253.455000,253.727000,253.455000,253.727000,253.455000,0.272000,dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_020600Z.flac_253.5s_253.7s_trainstyle.mat,mat_files/dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_020600Z.flac_253.5s_253.7s_trainstyle.mat,dclde_2027_DFO_CRP_NorthBc,9,DFO_CRP,NorthBc,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_020600Z.flac,HW,species:Mn,species:Mn,Mn,,,NA,Detection,0,NA,781.25,906.25,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_020600Z.flac,gs://noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_020600Z.flac,https://storage.googleapis.com/noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_020600Z.flac,0,reviewed,Mn,Mn,,,,DFO_CRP:NorthBc:DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_020600Z.flac,"[{""call_type"":null,""call_type_name"":null,""review_status"":""reviewed"",""source"":""dclde_2027_DFO_CRP_NorthBc"",""species"":""Humpback whale"",""species_code"":""Mn"",""trainable"":true}]",species:Mn
dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_022100Z.flac_136.2s_136.4s_trainstyle,dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_022100Z.flac,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_022100Z.flac,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_022100Z.flac,136.192000,136.448000,136.192000,136.448000,136.192000,0.256000,dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_022100Z.flac_136.2s_136.4s_trainstyle.mat,mat_files/dclde_DFO_CRP_NorthBc__DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_022100Z.flac_136.2s_136.4s_trainstyle.mat,dclde_2027_DFO_CRP_NorthBc,10,DFO_CRP,NorthBc,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_022100Z.flac,AB,confounder:abiotic,,,,confounder:abiotic,NA,Detection,0,NA,1218.75,1437.5,dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_022100Z.flac,gs://noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_022100Z.flac,https://storage.googleapis.com/noaa-passive-bioacoustic/dclde/2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_022100Z.flac,1,reviewed_confounder,,,,,,DFO_CRP:NorthBc:DFOCRP.KkHK0R2F-NML1.SM2M-3.20131011_022100Z.flac,[],
