item_id,source_audio,mat_path,device,start_time,end_time,window_start_s,duration_s,source_dataset,review_status,event_group,matched_annotation_count,labels_json,label_ids,is_background,split,source_label_ids,canonical_label_ids,analysis_label_ids,canonical_schema_version,clip,filename,begin_s,end_s,begin_time_s,end_time_s,expected_mat_name,species,species_code,call_type,call_type_std,call_type_raw,low_frequency_hz,high_frequency_hz,source_row_id,source_provider,source_dataset_raw,source_soundfile,source_class_species,canonical_species,canonical_call_type,dclde_ecotype,dclde_annotation_level,dclde_kw,dclde_kw_certain,gcs_object,gcs_uri,https_url,negative_bucket,context_tags,source_kind
ICLISTENHF6016_20250115T010000.000Z.flac_130.0s_170.0s_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250115T010000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250115T010000.000Z.flac_130.0s_170.0s_trainstyle.mat,ICLISTENHF6016,2025-01-15T01:02:10+00:00,2025-01-15T01:02:50+00:00,130.000000,40.000000,final2025_part2_multispecies_tiny_trainstyle,unreviewed,ICLISTENHF6016_20250115T010000.000Z.flac:130.000,0,[],,1,test,,,,weekend-canonical-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambiguous_hard_negative,,ONC
ICLISTENHF6016_20250305T170000.000Z.flac_130.0s_170.0s_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250305T170000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250305T170000.000Z.flac_130.0s_170.0s_trainstyle.mat,ICLISTENHF6016,2025-03-05T17:02:10+00:00,2025-03-05T17:02:50+00:00,130.000000,40.000000,final2025_part2_multispecies_tiny_trainstyle,unreviewed,ICLISTENHF6016_20250305T170000.000Z.flac:130.000,0,[],,1,val,,,,weekend-canonical-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambiguous_hard_negative,,ONC
ICLISTENHF6016_20250310T070000.000Z.flac_130.0s_170.0s_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250310T070000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250310T070000.000Z.flac_130.0s_170.0s_trainstyle.mat,ICLISTENHF6016,2025-03-10T07:02:10+00:00,2025-03-10T07:02:50+00:00,130.000000,40.000000,final2025_part2_multispecies_tiny_trainstyle,unreviewed,ICLISTENHF6016_20250310T070000.000Z.flac:130.000,0,[],,1,train,,,,weekend-canonical-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambiguous_hard_negative,,ONC
ICLISTENHF6016_20250310T160000.000Z.flac_130.0s_170.0s_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250310T160000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250310T160000.000Z.flac_130.0s_170.0s_trainstyle.mat,ICLISTENHF6016,2025-03-10T16:02:10+00:00,2025-03-10T16:02:50+00:00,130.000000,40.000000,final2025_part2_multispecies_tiny_trainstyle,unreviewed,ICLISTENHF6016_20250310T160000.000Z.flac:130.000,0,[],,1,train,,,,weekend-canonical-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambiguous_hard_negative,,ONC
ICLISTENHF6016_20250310T190000.000Z.flac_130.0s_170.0s_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250310T190000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250310T190000.000Z.flac_130.0s_170.0s_trainstyle.mat,ICLISTENHF6016,2025-03-10T19:02:10+00:00,2025-03-10T19:02:50+00:00,130.000000,40.000000,final2025_part2_multispecies_tiny_trainstyle,unreviewed,ICLISTENHF6016_20250310T190000.000Z.flac:130.000,0,[],,1,train,,,,weekend-canonical-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambiguous_hard_negative,,ONC
ICLISTENHF6016_20250320T170000.000Z-LPF.flac_130.0s_170.0s_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250320T170000.000Z-LPF.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250320T170000.000Z-LPF.flac_130.0s_170.0s_trainstyle.mat,ICLISTENHF6016,2025-03-20T17:02:10+00:00,2025-03-20T17:02:50+00:00,130.000000,40.000000,final2025_part2_multispecies_tiny_trainstyle,unreviewed,ICLISTENHF6016_20250320T170000.000Z-LPF.flac:130.000,0,[],,1,train,,,,weekend-canonical-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambiguous_hard_negative,,ONC
ICLISTENHF6016_20250320T210000.000Z-LPF.flac_130.0s_170.0s_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250320T210000.000Z-LPF.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250320T210000.000Z-LPF.flac_130.0s_170.0s_trainstyle.mat,ICLISTENHF6016,2025-03-20T21:02:10+00:00,2025-03-20T21:02:50+00:00,130.000000,40.000000,final2025_part2_multispecies_tiny_trainstyle,unreviewed,ICLISTENHF6016_20250320T210000.000Z-LPF.flac:130.000,0,[],,1,val,,,,weekend-canonical-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambiguous_hard_negative,,ONC
ICLISTENHF6016_20250330T020000.000Z.flac_130.0s_170.0s_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250330T020000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250330T020000.000Z.flac_130.0s_170.0s_trainstyle.mat,ICLISTENHF6016,2025-03-30T02:02:10+00:00,2025-03-30T02:02:50+00:00,130.000000,40.000000,final2025_part2_multispecies_tiny_trainstyle,unreviewed,ICLISTENHF6016_20250330T020000.000Z.flac:130.000,0,[],,1,train,,,,weekend-canonical-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambiguous_hard_negative,,ONC
ICLISTENHF6016_20250330T100000.000Z.flac_130.0s_170.0s_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250330T100000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250330T100000.000Z.flac_130.0s_170.0s_trainstyle.mat,ICLISTENHF6016,2025-03-30T10:02:10+00:00,2025-03-30T10:02:50+00:00,130.000000,40.000000,final2025_part2_multispecies_tiny_trainstyle,unreviewed,ICLISTENHF6016_20250330T100000.000Z.flac:130.000,0,[],,1,train,,,,weekend-canonical-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambiguous_hard_negative,,ONC
ICLISTENHF6016_20250330T150000.000Z.flac_130.0s_170.0s_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250330T150000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250330T150000.000Z.flac_130.0s_170.0s_trainstyle.mat,ICLISTENHF6016,2025-03-30T15:02:10+00:00,2025-03-30T15:02:50+00:00,130.000000,40.000000,final2025_part2_multispecies_tiny_trainstyle,unreviewed,ICLISTENHF6016_20250330T150000.000Z.flac:130.000,0,[],,1,test,,,,weekend-canonical-v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambiguous_hard_negative,,ONC
