panel_index,item_id,split,negative_bucket,begin_s,end_s,duration_s,source_audio,model_assisted_review_label,model_assisted_confidence,visual_notes,recommended_training_use,human_review_label,human_review_confidence,human_review_notes,reviewer,reviewed_at,use_as_reviewed_background
10,ICLISTENHF6016_20250105T041000.000Z_gap_0000_0.0s_10.0s,val,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T041000.000Z.flac,candidate_clean_background,medium,Mostly diffuse background with no clear localized downsweep-like event in the contact sheet.,candidate_for_human_confirmed_reviewed_background,,,,,,
12,ICLISTENHF6016_20250105T014000.000Z_gap_0000_0.0s_10.0s,train,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T014000.000Z.flac,candidate_clean_background,medium,Relatively diffuse noise texture; no clear whale-like contour visible at this scale.,candidate_for_human_confirmed_reviewed_background,,,,,,
14,ICLISTENHF6016_20250120T210000.000Z_gap_0000_0.0s_10.0s,test,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250120T210000.000Z.flac,candidate_clean_background,medium,Mostly diffuse low-frequency background without an obvious localized event.,candidate_for_human_confirmed_reviewed_background,,,,,,
15,ICLISTENHF6016_20250105T023000.000Z_gap_0000_0.0s_10.0s,train,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T023000.000Z.flac,candidate_clean_background,medium,Only a weak small patch; no clear primary-species call shape in contact-sheet view.,candidate_for_human_confirmed_reviewed_background,,,,,,
17,ICLISTENHF6016_20250125T070000.000Z_gap_0000_0.0s_10.0s,test,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250125T070000.000Z.flac,candidate_clean_background,medium,Diffuse noise and weak banding only; no obvious call-like contour.,candidate_for_human_confirmed_reviewed_background,,,,,,
22,ICLISTENHF6016_20250120T190000.000Z_gap_0000_0.0s_10.0s,val,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250120T190000.000Z.flac,candidate_clean_background,medium,Diffuse background texture; no obvious primary-call contour at contact-sheet scale.,candidate_for_human_confirmed_reviewed_background,,,,,,
23,ICLISTENHF6016_20250405T030000.000Z_gap_0000_0.0s_10.0s,test,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250405T030000.000Z.flac,candidate_clean_background,medium,Mostly diffuse; no clear localized signal-like feature.,candidate_for_human_confirmed_reviewed_background,,,,,,
26,ICLISTENHF6016_20250505T160000.000Z_gap_0000_0.0s_10.0s,test,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250505T160000.000Z.flac,candidate_clean_background,medium,Diffuse low-frequency noise floor with no obvious localized whale-like contour.,candidate_for_human_confirmed_reviewed_background,,,,,,
30,ICLISTENHF6016_20250105T051000.000Z_gap_0000_0.0s_10.0s,train,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T051000.000Z.flac,candidate_clean_background,medium,Diffuse texture with no obvious localized call-like feature.,candidate_for_human_confirmed_reviewed_background,,,,,,
31,ICLISTENHF6016_20250505T180000.000Z_gap_0000_0.0s_10.0s,val,primary_adjacent_gap,0.000000,10.000000,10.000000,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250505T180000.000Z.flac,candidate_clean_background,medium,Mostly diffuse background; no clear event shape visible.,candidate_for_human_confirmed_reviewed_background,,,,,,
