item_id,source_audio,mat_path,device,start_time,end_time,window_start_s,duration_s,source_dataset,review_status,event_group,matched_annotation_count,labels_json,label_ids,is_background,split,source_label_ids,canonical_label_ids,analysis_label_ids,canonical_schema_version,clip,filename,begin_s,end_s,begin_time_s,end_time_s,expected_mat_name,species,species_code,call_type,call_type_std,call_type_raw,low_frequency_hz,high_frequency_hz,source_row_id,source_provider,source_dataset_raw,source_soundfile,source_class_species,canonical_species,canonical_call_type,dclde_ecotype,dclde_annotation_level,dclde_kw,dclde_kw_certain,gcs_object,gcs_uri,https_url,negative_bucket,context_tags,source_kind,suggested_review_label,review_question
ICLISTENHF6016_20250105T015000.000Z_gap_0000_0.0s_10.0s,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T015000.000Z.flac,,,,,,10.000000,onc_primary_adjacent_gap,candidate_primary_adjacent_gap,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T015000.000Z.flac,,,,1,val,,,,,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T015000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T015000.000Z.flac,0.000000,10.000000,,,,,,,,,,,,,,,,,,,,,,,,,primary_adjacent_gap,primary_adjacent_gap,ONC,needs_visual_review,Is this 10s primary-adjacent gap clean enough for reviewed_background?
ICLISTENHF6016_20250105T052000.000Z_gap_0000_0.0s_10.0s,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T052000.000Z.flac,,,,,,10.000000,onc_primary_adjacent_gap,candidate_primary_adjacent_gap,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T052000.000Z.flac,,,,1,test,,,,,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T052000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T052000.000Z.flac,0.000000,10.000000,,,,,,,,,,,,,,,,,,,,,,,,,primary_adjacent_gap,primary_adjacent_gap,ONC,needs_visual_review,Is this 10s primary-adjacent gap clean enough for reviewed_background?
ICLISTENHF6016_20250105T000000.000Z_gap_0000_13.1s_23.1s,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T000000.000Z.flac,,,,,,10.000000,onc_primary_adjacent_gap,candidate_primary_adjacent_gap,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T000000.000Z.flac,,,,1,train,,,,,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T000000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T000000.000Z.flac,13.100000,23.100000,,,,,,,,,,,,,,,,,,,,,,,,,primary_adjacent_gap,primary_adjacent_gap,ONC,needs_visual_review,Is this 10s primary-adjacent gap clean enough for reviewed_background?
ICLISTENHF6016_20250105T021000.000Z_gap_0000_0.0s_10.0s,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T021000.000Z.flac,,,,,,10.000000,onc_primary_adjacent_gap,candidate_primary_adjacent_gap,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T021000.000Z.flac,,,,1,val,,,,,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T021000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T021000.000Z.flac,0.000000,10.000000,,,,,,,,,,,,,,,,,,,,,,,,,primary_adjacent_gap,primary_adjacent_gap,ONC,needs_visual_review,Is this 10s primary-adjacent gap clean enough for reviewed_background?
ICLISTENHF6016_20250110T200000.000Z_gap_0000_0.0s_10.0s,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250110T200000.000Z.flac,,,,,,10.000000,onc_primary_adjacent_gap,candidate_primary_adjacent_gap,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250110T200000.000Z.flac,,,,1,test,,,,,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250110T200000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250110T200000.000Z.flac,0.000000,10.000000,,,,,,,,,,,,,,,,,,,,,,,,,primary_adjacent_gap,primary_adjacent_gap,ONC,needs_visual_review,Is this 10s primary-adjacent gap clean enough for reviewed_background?
ICLISTENHF6016_20250105T001000.000Z_gap_0000_0.0s_10.0s,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T001000.000Z.flac,,,,,,10.000000,onc_primary_adjacent_gap,candidate_primary_adjacent_gap,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T001000.000Z.flac,,,,1,train,,,,,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T001000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T001000.000Z.flac,0.000000,10.000000,,,,,,,,,,,,,,,,,,,,,,,,,primary_adjacent_gap,primary_adjacent_gap,ONC,needs_visual_review,Is this 10s primary-adjacent gap clean enough for reviewed_background?
ICLISTENHF6016_20250105T030000.000Z_gap_0000_18.6s_28.6s,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T030000.000Z.flac,,,,,,10.000000,onc_primary_adjacent_gap,candidate_primary_adjacent_gap,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T030000.000Z.flac,,,,1,val,,,,,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T030000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T030000.000Z.flac,18.600000,28.600000,,,,,,,,,,,,,,,,,,,,,,,,,primary_adjacent_gap,primary_adjacent_gap,ONC,needs_visual_review,Is this 10s primary-adjacent gap clean enough for reviewed_background?
ICLISTENHF6016_20250115T040000.000Z_gap_0000_0.0s_10.0s,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250115T040000.000Z.flac,,,,,,10.000000,onc_primary_adjacent_gap,candidate_primary_adjacent_gap,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250115T040000.000Z.flac,,,,1,test,,,,,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250115T040000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250115T040000.000Z.flac,0.000000,10.000000,,,,,,,,,,,,,,,,,,,,,,,,,primary_adjacent_gap,primary_adjacent_gap,ONC,needs_visual_review,Is this 10s primary-adjacent gap clean enough for reviewed_background?
ICLISTENHF6016_20250105T004000.000Z_gap_0000_0.0s_10.0s,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T004000.000Z.flac,,,,,,10.000000,onc_primary_adjacent_gap,candidate_primary_adjacent_gap,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T004000.000Z.flac,,,,1,train,,,,,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T004000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T004000.000Z.flac,0.000000,10.000000,,,,,,,,,,,,,,,,,,,,,,,,,primary_adjacent_gap,primary_adjacent_gap,ONC,needs_visual_review,Is this 10s primary-adjacent gap clean enough for reviewed_background?
ICLISTENHF6016_20250105T041000.000Z_gap_0000_0.0s_10.0s,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T041000.000Z.flac,,,,,,10.000000,onc_primary_adjacent_gap,candidate_primary_adjacent_gap,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T041000.000Z.flac,,,,1,val,,,,,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T041000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T041000.000Z.flac,0.000000,10.000000,,,,,,,,,,,,,,,,,,,,,,,,,primary_adjacent_gap,primary_adjacent_gap,ONC,needs_visual_review,Is this 10s primary-adjacent gap clean enough for reviewed_background?
