item_id,evaluation_bucket,source_dataset,source_audio,mat_path,source_label_ids,analysis_label_ids,is_background,context_tags,predicted_primary,top_primary,top_primary_score,target_label_ids
ICLISTENHF6016_20250415T130000.000Z-LPF.flac_130.0s_170.0s_trainstyle,candidate_background,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250415T130000.000Z-LPF.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250415T130000.000Z-LPF.flac_130.0s_170.0s_trainstyle.mat,,,1,,species:Oo,species:Oo,0.967529,
ICLISTENHF6016_20250405T120000.000Z.flac_130.0s_170.0s_trainstyle,candidate_background,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250405T120000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250405T120000.000Z.flac_130.0s_170.0s_trainstyle.mat,,,1,,species:Oo,species:Oo,0.914273,
ICLISTENHF6016_20250425T090000.000Z.flac_130.0s_170.0s_trainstyle,candidate_background,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250425T090000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250425T090000.000Z.flac_130.0s_170.0s_trainstyle.mat,,,1,,species:Oo,species:Oo,0.901446,
ICLISTENHF6016_20250610T080000.000Z.flac_130.0s_170.0s_trainstyle,candidate_background,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250610T080000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250610T080000.000Z.flac_130.0s_170.0s_trainstyle.mat,,,1,,species:Oo,species:Oo,0.894142,
ICLISTENHF6016_20250620T230000.000Z-LPF.flac_130.0s_170.0s_trainstyle,candidate_background,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250620T230000.000Z-LPF.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250620T230000.000Z-LPF.flac_130.0s_170.0s_trainstyle.mat,,,1,,species:Oo,species:Oo,0.859280,
ICLISTENHF6016_20250430T220000.000Z.flac_130.0s_170.0s_trainstyle,candidate_background,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250430T220000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250430T220000.000Z.flac_130.0s_170.0s_trainstyle.mat,,,1,,species:Oo,species:Oo,0.858897,
ICLISTENHF6016_20250115T010000.000Z.flac_130.0s_170.0s_trainstyle,candidate_background,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250115T010000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250115T010000.000Z.flac_130.0s_170.0s_trainstyle.mat,,,1,,species:Oo,species:Oo,0.858758,
ICLISTENHF6016_20250620T000000.000Z-LPF.flac_130.0s_170.0s_trainstyle,candidate_background,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250620T000000.000Z-LPF.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250620T000000.000Z-LPF.flac_130.0s_170.0s_trainstyle.mat,,,1,,species:Oo,species:Oo,0.834188,
ICLISTENHF6016_20250715T150000.000Z.flac_130.0s_170.0s_trainstyle,candidate_background,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250715T150000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250715T150000.000Z.flac_130.0s_170.0s_trainstyle.mat,,,1,,species:Oo,species:Oo,0.768905,
ICLISTENHF6016_20250410T130000.000Z.flac_130.0s_170.0s_trainstyle,candidate_background,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250410T130000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250410T130000.000Z.flac_130.0s_170.0s_trainstyle.mat,,,1,,species:Oo,species:Oo,0.753814,
