item_id,source_dataset,source_audio,mat_path,predicted_primary,top_primary,top_primary_score,target_label_ids
ICLISTENHF6016_20250215T010000.000Z.flac_276.9s_282.1s_trainstyle,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250215T010000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250215T010000.000Z.flac_276.9s_282.1s_trainstyle.mat,species:Mn,species:Mn,0.978689,
ICLISTENHF6016_20251010T000000.000Z.flac_34.1s_38.8s_trainstyle,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20251010T000000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20251010T000000.000Z.flac_34.1s_38.8s_trainstyle.mat,species:Bp|species:Mn,species:Mn,0.957438,
ICLISTENHF6016_20250105T063000.000Z.flac_8.4s_9.6s_trainstyle,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T063000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250105T063000.000Z.flac_8.4s_9.6s_trainstyle.mat,species:Bp|species:Mn,species:Mn,0.947266,
ICLISTENHF6016_20251020T070000.000Z.flac_52.5s_55.9s_trainstyle,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20251020T070000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20251020T070000.000Z.flac_52.5s_55.9s_trainstyle.mat,species:Bp|species:Mn,species:Mn,0.932215,
ICLISTENHF6016_20250715T150000.000Z.flac_130.0s_170.0s_trainstyle,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250715T150000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250715T150000.000Z.flac_130.0s_170.0s_trainstyle.mat,species:Oo,species:Oo,0.906413,
ICLISTENHF6016_20250425T090000.000Z.flac_130.0s_170.0s_trainstyle,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250425T090000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250425T090000.000Z.flac_130.0s_170.0s_trainstyle.mat,species:Oo,species:Oo,0.887118,
ICLISTENHF6016_20250415T130000.000Z-LPF.flac_130.0s_170.0s_trainstyle,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250415T130000.000Z-LPF.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250415T130000.000Z-LPF.flac_130.0s_170.0s_trainstyle.mat,species:Oo,species:Oo,0.883661,
ICLISTENHF6016_20250405T120000.000Z.flac_130.0s_170.0s_trainstyle,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250405T120000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250405T120000.000Z.flac_130.0s_170.0s_trainstyle.mat,species:Oo,species:Oo,0.871859,
ICLISTENHF6016_20250410T130000.000Z.flac_130.0s_170.0s_trainstyle,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250410T130000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250410T130000.000Z.flac_130.0s_170.0s_trainstyle.mat,species:Oo,species:Oo,0.865207,
ICLISTENHF6016_20250720T190000.000Z.flac_187.3s_188.5s_trainstyle,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250720T190000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250720T190000.000Z.flac_187.3s_188.5s_trainstyle.mat,species:Oo,species:Oo,0.845087,
