review_label,suggested_review_label,allowed_review_labels,review_priority,item_id,evaluation_bucket,source_dataset,source_audio,mat_path,source_label_ids,analysis_label_ids,target_label_ids,is_background,review_status,context_tags,top_primary,top_primary_score,max_score_run,triggered_run_count,triggered_runs,run_score_summary,notes
,demoted_nonprimary_signal,reviewed_background|ambiguous_hard_negative|unlabeled_signal_suspect|demoted_nonprimary_signal,high,ICLISTENHF6016_20250215T010000.000Z.flac_276.9s_282.1s_trainstyle,demoted_nonprimary_signal,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250215T010000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250215T010000.000Z.flac_276.9s_282.1s_trainstyle.mat,species:OD,group:odontocete_unknown,species:OD,0,unreviewed,,species:Mn,0.978689,E09 ONC+BioDCASE+DCLDE species-only,5,E01 ONC control|E04 ONC+BioDCASE species+call|E06 ONC+BioDCASE+DCLDE|E08 ONC+DCLDE species-only|E09 ONC+BioDCASE+DCLDE species-only,E01 ONC control:species:Mn=0.9272; E04 ONC+BioDCASE species+call:species:Mn=0.9555; E06 ONC+BioDCASE+DCLDE:species:Mn=0.9430; E08 ONC+DCLDE species-only:species:Mn=0.8774; E09 ONC+BioDCASE+DCLDE species-only:species:Mn=0.9787,
,ambiguous_hard_negative,reviewed_background|ambiguous_hard_negative|unlabeled_signal_suspect|demoted_nonprimary_signal,high,ICLISTENHF6016_20250415T130000.000Z-LPF.flac_130.0s_170.0s_trainstyle,candidate_background,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250415T130000.000Z-LPF.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250415T130000.000Z-LPF.flac_130.0s_170.0s_trainstyle.mat,,,,1,unreviewed,,species:Oo,0.967529,E04 ONC+BioDCASE species+call,5,E01 ONC control|E04 ONC+BioDCASE species+call|E06 ONC+BioDCASE+DCLDE|E08 ONC+DCLDE species-only|E09 ONC+BioDCASE+DCLDE species-only,E01 ONC control:species:Oo=0.8810; E04 ONC+BioDCASE species+call:species:Oo=0.9675; E06 ONC+BioDCASE+DCLDE:species:Oo=0.8220; E08 ONC+DCLDE species-only:species:Oo=0.9052; E09 ONC+BioDCASE+DCLDE species-only:species:Oo=0.8837,
,demoted_nonprimary_signal,reviewed_background|ambiguous_hard_negative|unlabeled_signal_suspect|demoted_nonprimary_signal,high,ICLISTENHF6016_20251010T000000.000Z.flac_34.1s_38.8s_trainstyle,demoted_nonprimary_signal,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20251010T000000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20251010T000000.000Z.flac_34.1s_38.8s_trainstyle.mat,species:OD,group:odontocete_unknown,species:OD,0,unreviewed,,species:Mn,0.957438,E09 ONC+BioDCASE+DCLDE species-only,5,E01 ONC control|E04 ONC+BioDCASE species+call|E06 ONC+BioDCASE+DCLDE|E08 ONC+DCLDE species-only|E09 ONC+BioDCASE+DCLDE species-only,E01 ONC control:species:Mn=0.7282; E04 ONC+BioDCASE species+call:species:Mn=0.9359; E06 ONC+BioDCASE+DCLDE:species:Mn=0.9356; E08 ONC+DCLDE species-only:species:Bp=0.9254; E09 ONC+BioDCASE+DCLDE species-only:species:Mn=0.9574,
,demoted_nonprimary_signal,reviewed_background|ambiguous_hard_negative|unlabeled_signal_suspect|demoted_nonprimary_signal,high,ICLISTENHF6016_20250105T063000.000Z.flac_8.4s_9.6s_trainstyle,demoted_nonprimary_signal,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250105T063000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250105T063000.000Z.flac_8.4s_9.6s_trainstyle.mat,species:OD,group:odontocete_unknown,species:OD,0,unreviewed,,species:Mn,0.947266,E09 ONC+BioDCASE+DCLDE species-only,5,E01 ONC control|E04 ONC+BioDCASE species+call|E06 ONC+BioDCASE+DCLDE|E08 ONC+DCLDE species-only|E09 ONC+BioDCASE+DCLDE species-only,E01 ONC control:species:Mn=0.7720; E04 ONC+BioDCASE species+call:species:Mn=0.7057; E06 ONC+BioDCASE+DCLDE:species:Mn=0.8873; E08 ONC+DCLDE species-only:species:Bp=0.8664; E09 ONC+BioDCASE+DCLDE species-only:species:Mn=0.9473,
,demoted_nonprimary_signal,reviewed_background|ambiguous_hard_negative|unlabeled_signal_suspect|demoted_nonprimary_signal,high,ICLISTENHF6016_20250525T010000.000Z.flac_28.7s_40.3s_trainstyle,demoted_nonprimary_signal,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250525T010000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250525T010000.000Z.flac_28.7s_40.3s_trainstyle.mat,species:OD,group:odontocete_unknown,species:OD,0,unreviewed,,species:Oo,0.935169,E04 ONC+BioDCASE species+call,3,E04 ONC+BioDCASE species+call|E06 ONC+BioDCASE+DCLDE|E09 ONC+BioDCASE+DCLDE species-only,E01 ONC control:species:Oo=0.6039; E04 ONC+BioDCASE species+call:species:Oo=0.9352; E06 ONC+BioDCASE+DCLDE:species:Oo=0.7394; E08 ONC+DCLDE species-only:species:Oo=0.4169; E09 ONC+BioDCASE+DCLDE species-only:species:Oo=0.7895,
,demoted_nonprimary_signal,reviewed_background|ambiguous_hard_negative|unlabeled_signal_suspect|demoted_nonprimary_signal,high,ICLISTENHF6016_20251020T070000.000Z.flac_52.5s_55.9s_trainstyle,demoted_nonprimary_signal,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20251020T070000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20251020T070000.000Z.flac_52.5s_55.9s_trainstyle.mat,species:OD,group:odontocete_unknown,species:OD,0,unreviewed,,species:Mn,0.932215,E09 ONC+BioDCASE+DCLDE species-only,5,E01 ONC control|E04 ONC+BioDCASE species+call|E06 ONC+BioDCASE+DCLDE|E08 ONC+DCLDE species-only|E09 ONC+BioDCASE+DCLDE species-only,E01 ONC control:species:Bp=0.7689; E04 ONC+BioDCASE species+call:species:Mn=0.8754; E06 ONC+BioDCASE+DCLDE:species:Mn=0.8438; E08 ONC+DCLDE species-only:species:Mn=0.8209; E09 ONC+BioDCASE+DCLDE species-only:species:Mn=0.9322,
,ambiguous_hard_negative,reviewed_background|ambiguous_hard_negative|unlabeled_signal_suspect|demoted_nonprimary_signal,high,ICLISTENHF6016_20250405T120000.000Z.flac_130.0s_170.0s_trainstyle,candidate_background,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250405T120000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250405T120000.000Z.flac_130.0s_170.0s_trainstyle.mat,,,,1,unreviewed,,species:Oo,0.916460,E01 ONC control,5,E01 ONC control|E04 ONC+BioDCASE species+call|E06 ONC+BioDCASE+DCLDE|E08 ONC+DCLDE species-only|E09 ONC+BioDCASE+DCLDE species-only,E01 ONC control:species:Oo=0.9165; E04 ONC+BioDCASE species+call:species:Oo=0.9143; E06 ONC+BioDCASE+DCLDE:species:Oo=0.7799; E08 ONC+DCLDE species-only:species:Oo=0.5446; E09 ONC+BioDCASE+DCLDE species-only:species:Oo=0.8719,
,ambiguous_hard_negative,reviewed_background|ambiguous_hard_negative|unlabeled_signal_suspect|demoted_nonprimary_signal,high,ICLISTENHF6016_20250715T150000.000Z.flac_130.0s_170.0s_trainstyle,candidate_background,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250715T150000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250715T150000.000Z.flac_130.0s_170.0s_trainstyle.mat,,,,1,unreviewed,,species:Oo,0.906413,E09 ONC+BioDCASE+DCLDE species-only,4,E04 ONC+BioDCASE species+call|E06 ONC+BioDCASE+DCLDE|E08 ONC+DCLDE species-only|E09 ONC+BioDCASE+DCLDE species-only,E01 ONC control:species:Oo=0.1393; E04 ONC+BioDCASE species+call:species:Oo=0.7689; E06 ONC+BioDCASE+DCLDE:species:Oo=0.8791; E08 ONC+DCLDE species-only:species:Oo=0.8377; E09 ONC+BioDCASE+DCLDE species-only:species:Oo=0.9064,
,ambiguous_hard_negative,reviewed_background|ambiguous_hard_negative|unlabeled_signal_suspect|demoted_nonprimary_signal,high,ICLISTENHF6016_20250425T090000.000Z.flac_130.0s_170.0s_trainstyle,candidate_background,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250425T090000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250425T090000.000Z.flac_130.0s_170.0s_trainstyle.mat,,,,1,unreviewed,,species:Oo,0.901446,E04 ONC+BioDCASE species+call,5,E01 ONC control|E04 ONC+BioDCASE species+call|E06 ONC+BioDCASE+DCLDE|E08 ONC+DCLDE species-only|E09 ONC+BioDCASE+DCLDE species-only,E01 ONC control:species:Oo=0.6413; E04 ONC+BioDCASE species+call:species:Oo=0.9014; E06 ONC+BioDCASE+DCLDE:species:Oo=0.7851; E08 ONC+DCLDE species-only:species:Oo=0.7269; E09 ONC+BioDCASE+DCLDE species-only:species:Oo=0.8871,
,demoted_nonprimary_signal,reviewed_background|ambiguous_hard_negative|unlabeled_signal_suspect|demoted_nonprimary_signal,high,ICLISTENHF6016_20250720T040000.000Z.flac_3.0s_3.4s_trainstyle,demoted_nonprimary_signal,final2025_part2_multispecies_tiny_trainstyle,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/ICLISTENHF6016_20250720T040000.000Z.flac,/project/6070467/merileo/data/finwhales/final2025_resnet_20260423/multispecies_calltype_experiments/prep_runs/multispecies_prep_balanced100_availaudio_20260430T120219Z/mat_files/ICLISTENHF6016_20250720T040000.000Z.flac_3.0s_3.4s_trainstyle.mat,species:OD,group:odontocete_unknown,species:OD,0,unreviewed,,species:Oo,0.897934,E04 ONC+BioDCASE species+call,2,E04 ONC+BioDCASE species+call|E09 ONC+BioDCASE+DCLDE species-only,E01 ONC control:species:Oo=0.4950; E04 ONC+BioDCASE species+call:species:Oo=0.8979; E06 ONC+BioDCASE+DCLDE:species:Oo=0.6370; E08 ONC+DCLDE species-only:species:Oo=0.3248; E09 ONC+BioDCASE+DCLDE species-only:species:Oo=0.7921,
