run,source,subset,score,n,p50,p75,p90,p95,max
E01 ONC control,ONC,all_rows,max_primary,87,0.781801,0.863201,0.974365,0.992699,0.997163
E01 ONC control,ONC,all_rows,species:Bm,87,0.027964,0.091017,0.974365,0.992699,0.997163
E01 ONC control,ONC,all_rows,species:Bp,87,0.220472,0.700704,0.804714,0.851833,0.886404
E01 ONC control,ONC,all_rows,species:Mn,87,0.152661,0.761078,0.844483,0.863201,0.927249
E01 ONC control,ONC,all_rows,species:Oo,87,0.095509,0.465482,0.678198,0.808249,0.916460
E01 ONC control,ONC,background_rows,max_primary,29,0.598485,0.689389,0.880977,0.916460,0.927249
E01 ONC control,ONC,background_rows,species:Bm,29,0.014165,0.027575,0.073562,0.124516,0.233647
E01 ONC control,ONC,background_rows,species:Bp,29,0.059304,0.164806,0.587181,0.587345,0.768916
E01 ONC control,ONC,background_rows,species:Mn,29,0.038290,0.095735,0.728247,0.771983,0.927249
E01 ONC control,ONC,background_rows,species:Oo,29,0.360395,0.640868,0.873393,0.880977,0.916460
E04 ONC+BioDCASE species+call,BioDCASE,all_rows,max_primary,67,0.976235,0.993388,0.996065,0.998164,0.999615
E04 ONC+BioDCASE species+call,BioDCASE,all_rows,species:Bm,67,0.706999,0.979766,0.993461,0.993816,0.996065
E04 ONC+BioDCASE species+call,BioDCASE,all_rows,species:Bp,67,0.173346,0.928253,0.995344,0.998164,0.999615
E04 ONC+BioDCASE species+call,BioDCASE,all_rows,species:Mn,67,0.008576,0.012963,0.016735,0.037690,0.056400
E04 ONC+BioDCASE species+call,BioDCASE,all_rows,species:Oo,67,0.003759,0.012183,0.024563,0.030474,0.052562
E04 ONC+BioDCASE species+call,BioDCASE,background_rows,max_primary,13,0.039788,0.061259,0.128150,0.761343,0.761343
E04 ONC+BioDCASE species+call,BioDCASE,background_rows,species:Bm,13,0.016348,0.061259,0.128150,0.761343,0.761343
E04 ONC+BioDCASE species+call,BioDCASE,background_rows,species:Bp,13,0.021561,0.039788,0.052151,0.057868,0.057868
E04 ONC+BioDCASE species+call,BioDCASE,background_rows,species:Mn,13,0.009263,0.012963,0.013910,0.016399,0.016399
E04 ONC+BioDCASE species+call,BioDCASE,background_rows,species:Oo,13,0.021691,0.027614,0.038777,0.048519,0.048519
E04 ONC+BioDCASE species+call,ONC,all_rows,max_primary,87,0.864578,0.935918,0.975098,0.990913,0.994669
E04 ONC+BioDCASE species+call,ONC,all_rows,species:Bm,87,0.035672,0.184486,0.972206,0.990913,0.994669
E04 ONC+BioDCASE species+call,ONC,all_rows,species:Bp,87,0.132433,0.540712,0.738411,0.864578,0.975098
E04 ONC+BioDCASE species+call,ONC,all_rows,species:Mn,87,0.160997,0.838470,0.920009,0.936442,0.965812
E04 ONC+BioDCASE species+call,ONC,all_rows,species:Oo,87,0.313648,0.765632,0.873592,0.901446,0.976188
E04 ONC+BioDCASE species+call,ONC,background_rows,max_primary,29,0.834188,0.894142,0.935918,0.955521,0.967529
E04 ONC+BioDCASE species+call,ONC,background_rows,species:Bm,29,0.022771,0.037408,0.102584,0.147671,0.162902
E04 ONC+BioDCASE species+call,ONC,background_rows,species:Bp,29,0.038431,0.101704,0.497274,0.510392,0.667536
E04 ONC+BioDCASE species+call,ONC,background_rows,species:Mn,29,0.039965,0.096035,0.875430,0.935918,0.955521
E04 ONC+BioDCASE species+call,ONC,background_rows,species:Oo,29,0.768905,0.873592,0.914273,0.935169,0.967529
E06 ONC+BioDCASE+DCLDE,BioDCASE,all_rows,max_primary,67,0.960295,0.983724,0.991080,0.994359,0.995801
E06 ONC+BioDCASE+DCLDE,BioDCASE,all_rows,species:Bm,67,0.389820,0.973122,0.985767,0.988514,0.995034
E06 ONC+BioDCASE+DCLDE,BioDCASE,all_rows,species:Bp,67,0.119202,0.898800,0.989213,0.992160,0.995801
E06 ONC+BioDCASE+DCLDE,BioDCASE,all_rows,species:Mn,67,0.025867,0.047556,0.078520,0.097384,0.243608
E06 ONC+BioDCASE+DCLDE,BioDCASE,all_rows,species:Oo,67,0.038485,0.261200,0.506006,0.666314,0.928159
E06 ONC+BioDCASE+DCLDE,BioDCASE,background_rows,max_primary,13,0.286969,0.504305,0.572473,0.881972,0.881972
E06 ONC+BioDCASE+DCLDE,BioDCASE,background_rows,species:Bm,13,0.026287,0.042927,0.052417,0.053866,0.053866
E06 ONC+BioDCASE+DCLDE,BioDCASE,background_rows,species:Bp,13,0.033328,0.046010,0.104461,0.198299,0.198299
E06 ONC+BioDCASE+DCLDE,BioDCASE,background_rows,species:Mn,13,0.033270,0.047556,0.054570,0.079087,0.079087
E06 ONC+BioDCASE+DCLDE,BioDCASE,background_rows,species:Oo,13,0.286969,0.504305,0.572473,0.881972,0.881972
E06 ONC+BioDCASE+DCLDE,DCLDE,all_rows,max_primary,59,0.821945,0.883176,0.936738,0.959378,0.966364
E06 ONC+BioDCASE+DCLDE,DCLDE,all_rows,species:Bm,59,0.012038,0.041475,0.146845,0.217234,0.302981
E06 ONC+BioDCASE+DCLDE,DCLDE,all_rows,species:Bp,59,0.027662,0.068155,0.133581,0.198920,0.600004
E06 ONC+BioDCASE+DCLDE,DCLDE,all_rows,species:Mn,59,0.041746,0.061772,0.117639,0.244589,0.309769
E06 ONC+BioDCASE+DCLDE,DCLDE,all_rows,species:Oo,59,0.821945,0.883176,0.936738,0.959378,0.966364
E06 ONC+BioDCASE+DCLDE,DCLDE,background_rows,max_primary,29,0.841854,0.895671,0.951454,0.959378,0.966364
E06 ONC+BioDCASE+DCLDE,DCLDE,background_rows,species:Bm,29,0.030391,0.105020,0.217234,0.235454,0.302981
E06 ONC+BioDCASE+DCLDE,DCLDE,background_rows,species:Bp,29,0.053934,0.085774,0.123302,0.282382,0.600004
E06 ONC+BioDCASE+DCLDE,DCLDE,background_rows,species:Mn,29,0.035274,0.056266,0.191019,0.287813,0.309769
E06 ONC+BioDCASE+DCLDE,DCLDE,background_rows,species:Oo,29,0.841854,0.895671,0.951454,0.959378,0.966364
E06 ONC+BioDCASE+DCLDE,ONC,all_rows,max_primary,87,0.849104,0.928968,0.951377,0.969234,0.979885
E06 ONC+BioDCASE+DCLDE,ONC,all_rows,species:Bm,87,0.048764,0.293908,0.910878,0.969234,0.979885
E06 ONC+BioDCASE+DCLDE,ONC,all_rows,species:Bp,87,0.215439,0.585451,0.774675,0.814582,0.953433
E06 ONC+BioDCASE+DCLDE,ONC,all_rows,species:Mn,87,0.305091,0.916064,0.943021,0.946590,0.965351
E06 ONC+BioDCASE+DCLDE,ONC,all_rows,species:Oo,87,0.316753,0.716938,0.818103,0.843014,0.889873
E06 ONC+BioDCASE+DCLDE,ONC,background_rows,max_primary,29,0.776662,0.835062,0.889873,0.935571,0.943021
E06 ONC+BioDCASE+DCLDE,ONC,background_rows,species:Bm,29,0.015001,0.024861,0.293908,0.403509,0.445659
E06 ONC+BioDCASE+DCLDE,ONC,background_rows,species:Bp,29,0.039489,0.059716,0.489535,0.572828,0.619233
