run,source,row_count,background_row_count,background_any_primary_fp,background_any_primary_fp_rate,macro_f1,micro_f1,micro_precision,micro_recall,Bm_f1,Bm_precision,Bm_recall,Bm_fp,Bm_fn,Bp_f1,Bp_precision,Bp_recall,Bp_fp,Bp_fn,Mn_f1,Mn_precision,Mn_recall,Mn_fp,Mn_fn,Oo_f1,Oo_precision,Oo_recall,Oo_fp,Oo_fn
E01 ONC control,ONC,87,29,12,0.4138,0.6372,0.6207,0.5172,0.7759,0.8889,1.0000,0.8000,0,3,0.5957,0.4516,0.8750,17,2,0.5455,0.4138,0.8000,17,3,0.5185,0.4667,0.5833,8,5
E04 ONC+BioDCASE species+call,BioDCASE,67,13,1,0.0769,0.4242,0.8525,0.7647,0.9630,0.8732,0.7750,1.0000,9,0,0.8235,0.7500,0.9130,7,2,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0,0
E04 ONC+BioDCASE species+call,ONC,87,29,20,0.6897,0.6549,0.6289,0.4950,0.8621,0.9333,0.9333,0.9333,1,1,0.6316,0.5455,0.7500,10,4,0.5283,0.3684,0.9333,24,1,0.5263,0.3846,0.8333,16,2
E06 ONC+BioDCASE+DCLDE,BioDCASE,67,13,1,0.0769,0.4177,0.8174,0.7705,0.8704,0.8710,0.8710,0.8710,4,4,0.8000,0.7407,0.8696,7,3,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,3,0
E06 ONC+BioDCASE+DCLDE,DCLDE,59,29,25,0.8621,0.1726,0.6824,0.5273,0.9667,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,1,0,0.0000,0.0000,0.0000,0,0,0.6905,0.5370,0.9667,25,1
E06 ONC+BioDCASE+DCLDE,ONC,87,29,21,0.7241,0.5944,0.5660,0.4455,0.7759,0.9286,1.0000,0.8667,0,2,0.5909,0.4643,0.8125,15,3,0.4898,0.3529,0.8000,22,3,0.3684,0.2692,0.5833,19,5
E08 ONC+DCLDE species-only,DCLDE,59,29,15,0.5172,0.1918,0.7671,0.6512,0.9333,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0,0,0.7671,0.6512,0.9333,15,2
E08 ONC+DCLDE species-only,ONC,87,29,15,0.5172,0.5976,0.5890,0.4886,0.7414,0.9032,0.8750,0.9333,2,1,0.5789,0.5000,0.6875,11,5,0.5333,0.4000,0.8000,18,3,0.3750,0.3000,0.5000,14,6
E09 ONC+BioDCASE+DCLDE species-only,BioDCASE,67,13,1,0.0769,0.3995,0.7586,0.7097,0.8148,0.8136,0.8571,0.7742,4,7,0.7843,0.7143,0.8696,8,3,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,6,0
E09 ONC+BioDCASE+DCLDE species-only,DCLDE,59,29,21,0.7241,0.1772,0.6829,0.5385,0.9333,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,1,0,0.0000,0.0000,0.0000,2,0,0.7089,0.5714,0.9333,21,2
E09 ONC+BioDCASE+DCLDE species-only,ONC,87,29,24,0.8276,0.6386,0.6118,0.4643,0.8966,0.9333,0.9333,0.9333,1,1,0.6522,0.5000,0.9375,15,1,0.5600,0.4000,0.9333,21,1,0.4091,0.2812,0.7500,23,3
